id,titleEn,titleTe,author,album,category,ragam,language,posted,url,teluguChars,englishChars
131,krupalanu thalanchuchu,కృపలను తలంచుచు ఆయుష్కాలమంతా ప్రభుని కృతజ్ఞతతో స్తుతింతున్,,,New Year,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/131,611,0
132,krupamayuda neelona,కృపామయుడా నీలోనా నివసింప జేసినందునా,Bro  Yesanna,hosanna,New Year,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/132,564,0
133,kummari o kummari,కుమ్మరి ఓ కుమ్మరి జగదుత్పత్తిధారి,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/133,354,0
134,kuthuhala marbhatame,కుతూహల మార్భాటమే నా యేసుని సన్నిధిలో,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/134,560,0
135,maa oohalu puttaka munupe,మా ఊహలు పుట్టక మునుపే మా సర్వమునెరిగిన దేవ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/135,572,0
136,mahima neeke prabhu,మహిమ నీకె ప్రభూ ఘనత నీకె ప్రభూ స్తుతీ ఘనత మహిమయు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/136,647,0
137,mahonnathuda ni krupalo,మహోన్నతుడా నీ కృపలో నేను నివసించుట నా జీవిత ధన్యతైయున్నది,Bro  Yesanna,hosanna,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/137,401,0
138,mangalame yesunaku x,మంగళమే యేసునకు మనుజావతారునకు,,andhra Kristava Keerthanalu,Marriage,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/138,498,0
139,manulu manikyamulunna,మణులు మాణిక్యములున్న మేడమిద్దెలు ఎన్నున్నా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/139,527,0
140,naa jeevitha yatralo,నా జీవిత యాత్రలో ప్రభువా నీ పాదమే శరణం,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/140,417,0
141,naa prana priyuda,నా ప్రాణ ప్రియుడా యేసు రాజా అర్పింతును నా హృదయార్పణ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/141,628,0
142,naa sthuthi paathruda,నా స్తుతి పాత్రుడా నా యెసయ్యా నా ఆరాధనకు,Bro  Yesanna,hosanna,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/142,395,0
143,nadipinchu na naava,నడిపించు నా నావ నడి సంద్రమున దేవా,A B  Masilamani,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/143,1115,0
144,ne saagedha yesunitho,నే సాగెద యేసునితో నా జీవిత కాలమంత,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/144,574,0
145,nedo repo naa priyudesu,నేడో రేపో నా ప్రియుడేసు మేఘాల మీద ఏతెంచును,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/145,495,0
146,nee chethitho nannu pattuko,నీ చేతితో నన్ను పట్టుకో నీఆత్మతో నన్ను నడుపు,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/146,421,0
147,nee rakthame,నీ రక్తమే నీ రక్తమేనన్ శుద్ధీకరించున్ నీ రక్తమే నా బలము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/147,691,0
148,neeve naa dhevudavu,నీవే నా దేవుడవు ఆరాధింతను,Bro  Kripal Mohan,naa pranam,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/148,308,0
149,ho happy christmas happy christmas,హో హ్యాప్పీ క్రిస్మస్ హ్యాప్పీ క్రిస్మస్,,,Christmas,,TELUGU,2021-12-16,https://waytochurch.com/lyrics/song/149,613,676
150,neevu chesina upakaaramulaku,నీవు చేసిన ఉపకారములకు నేనేమి చెల్లింతును,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/150,584,0
151,nuthana geethamu paadedhanu,నూతన గీతము పాడెదను నా ప్రియుడేసునిలో,,,New Year,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/151,489,0
152,o prabhuva neeve,ఓ ప్రభువా ఓ ప్రభువా నీవే నా మంచి కాపరివి నీవే నా మంచి కాపరివి,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/152,323,0
153,o sadbhakthulara,ఓ సద్భక్తులారా లోక రక్షకుండు బెత్లె్హేమందు నేడు,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/153,601,0
154,prabhuva neelo jeevinchuta ab,ప్రభువా నీలో జీవించుట కృపా బాహుళ్యమే నా యెడ కృపాబాహుళ్యమే,Bro  Yesanna,hosanna,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/154,512,631
155,pradhana yesuni sandharshana,ప్రార్ధన యేసుని సందర్శన పరమ తండ్రితో సంభాషణ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/155,848,0
156,prema yesuni prema,ప్రేమ యేసుని ప్రేమ అది ఎవ్వరు కొలువలేనిది,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/156,610,0
157,rakshakundudhayinchi nadata,రక్షకుండుదయించి నాడట మన కొరకు బరమ రక్షకుండుదయించి,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/157,673,0
158,randi yuchahinchi paadudhamu,రండి యుత్చాహించి పాడుదము రక్షణదుర్గము మన ప్రభువే,,"andhra Kristava Keerthanalu , trahimam",,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/158,604,0
