source_id,song_name,author,stanzas,main_te_lines,main_en_lines,warnings
6067,Ammaa Ani Ninnu Piluvanaa,,0,1,1,unbroken-lines
6098,Amoolya Raktham Prashastha Raktham,Bro  Divya Prasad Rao,0,1,1,unbroken-lines
6101,Idhigo Dheva Ee Hrudhayam,,0,1,0,no-english-lyrics; unbroken-lines
6107,Arambamayindhi Restoration Restoration,Bro  M  Anil Kumar,0,1,0,no-english-lyrics; unbroken-lines
6112,Aa Bhojana Pankthilo Seemonu Intilo,,0,1,1,unbroken-lines
6119,Aakaasha Mahaa Kaashambulu,,0,1,1,unbroken-lines
6124,Aaripoye Deepamlaa,,0,1,1,unbroken-lines
6140,Aa Raaje Naa Raaju Naa Raaje Raaraaju,,0,1,1,unbroken-lines
12396,Immaanuyelu Devudaa Mamu Kanna Devudaa,,0,1,1,unbroken-lines
12397,Andaru Mechchina Andaala Thaara,G Purushotham Babu,0,1,1,unbroken-lines
12401,Aruna Kaanthi Kiranamai,Pastor A Shalem Israel,0,1,1,unbroken-lines
12404,Aascharyakarudaa Aalochanakartha Balavanthudaina Devudaa Happy Christmas,Bishop Daniel Kalyanapu,0,1,1,unbroken-lines
12423,Idhi Rakshana Krupa Kaalam,,0,1,0,no-english-lyrics; unbroken-lines
12426,Aaradhinthunu Halleluya,,0,1,0,no-english-lyrics; unbroken-lines
12427,Aaradhinthu Ninnu Dheva,,0,1,0,no-english-lyrics; unbroken-lines
12448,Aadhaaram Naaku Aadhaaram,,0,1,1,unbroken-lines
12453,Abraahaamu Issaaku Yaakobunaku Devudavu,,0,1,1,unbroken-lines
12461,Aahaa Aanandame Paramaanandame,,0,1,1,unbroken-lines
12502,Adagaka Mundhe Akkaralerigi,,0,1,1,unbroken-lines
12505,Idhe Naa Hrudhaya Vaanchana,,0,1,1,unbroken-lines
12508,Aakarshinche Priyudaa,,0,1,1,unbroken-lines
12517,Idhi Devuni Nirnayamu,,0,1,1,unbroken-lines
12530,Ardham Chesukune Apthudavu,,0,1,0,no-english-lyrics; unbroken-lines
12532,Adhigadhigo Alladhigo,,0,1,1,unbroken-lines
12559,Aathma Varshamu Maapai Kuripinchumu,bro  Paul Emmanuel,0,1,1,unbroken-lines
13119,Amma Kanna Minna O Yesayyaa,,0,2,2,
13164,Aashrayamaa Aadhaaramaa Neeve Naa Yesayyaa,,0,1,1,unbroken-lines
13193,Innaallu Thodugaa Maatho Nadichaavu,AR Stevenson,0,1,1,unbroken-lines
13195,Aaraadhana Aaraadhana,,0,1,1,unbroken-lines
13215,Aaraadhinchedam Aarbhaatinchedam Yesuni Sannidhilo,,0,1,1,unbroken-lines
13236,Ananda Ganalatho,,0,1,0,no-english-lyrics; unbroken-lines
13255,Athyunnatha Simhaasanamupai Aaseenudavaina Devaa,Amshumathi Mary,0,3,3,
13257,Advitheeya Sathya Devudu,,0,1,1,unbroken-lines
13258,Anni Velala Aaraadhana,,0,1,1,unbroken-lines
13259,Anudinam Aa Prabhuni Varame,,0,1,1,unbroken-lines
13260,Appagimpabadina Raathri,,0,1,1,unbroken-lines
13261,Amoolyamaina Aanimuthyamaa,Rev  Rachel Jyothi Komanapalli,0,1,1,unbroken-lines
13262,Ayyaa Naa Kosam Kalvarilo,,0,1,1,unbroken-lines
13263,Avadhule Lenidi Divyamaina Nee Krupa,,0,1,1,unbroken-lines
13264,Andaalu Chinde Shubha Vela Anduko Ee Vela,,0,1,1,unbroken-lines
13265,Aakaasham Amrutha Jallulu Kurpinchindi,,0,1,1,unbroken-lines
13267,Aathmeeya Gaanaalatho,,0,1,1,unbroken-lines
13268,Aapathkaalamuna Naaku Aashrayamu Neeve,,0,1,1,unbroken-lines
13269,Aakashaana Thaara Okati Velasindi,,0,1,1,unbroken-lines
13270,Adugaduguna Raktha Bindhuvule,,0,1,1,unbroken-lines
13271,Aarambhamayyindi Restoration,,0,1,1,unbroken-lines
13272,Aalakinchu Devaa Sthothraalaapana,,0,1,1,unbroken-lines
13273,Aalochanalo Goppavaadaa,,0,1,1,unbroken-lines
13274,Aavedana Nenondanu,,0,1,1,unbroken-lines
13275,Aascharyakarudaa Sthothram,,0,1,1,unbroken-lines
13276,Aashraya Durgamaa Naa Yesayyaa,,0,1,1,unbroken-lines
13277,Idigo Devuni Gorrepillaa,,0,1,1,unbroken-lines
13278,Innellu Ilalo Unnaamu Manamu,,0,1,1,unbroken-lines
13503,Adi Thala Meeda Poyabadi,,0,1,1,unbroken-lines
13725,Aa Ningilo Veligindi Oka Thaara,,0,1,1,unbroken-lines
14561,Adigo Naa Naava Bayalu Deruchunnadi,,0,1,1,unbroken-lines
14562,Alphaa Omegayaina – Mahimaanvithudaa,,0,1,1,unbroken-lines
14563,Andaala Thaara Arudenche Naakai Ambara Veedhilo,,0,1,1,unbroken-lines
14565,Aathma Varshamunu Kummarinchayyaa,,0,1,1,unbroken-lines
14566,Aanandamaanandame,,0,1,1,unbroken-lines
14568,Aao Khushi Se Hum Sab Gaaye – Ek Madhurtham Geeth,,0,1,1,unbroken-lines
14569,Aasha Theera Naa Yesu Swaamini Kolichedanu,,0,1,1,unbroken-lines
14570,Aascharya Kaaryamul Cheyunu Yesu (2),,0,1,1,unbroken-lines
14596,Aakaasha Pakshulanu Choodandi,,0,2,2,
16150,Aaraadhana Anduko (2),,0,1,1,unbroken-lines
16366,Aascharya Karamaina,,2,1,1,unbroken-lines
16568,Aparadini Yesiah,,0,1,1,unbroken-lines
19969,Aanandinthumu Aanandinthumu,,0,1,1,unbroken-lines
20002,"Abednago, Shadraku, Mesheku Vacchipadene Pedda Chikku",,0,1,1,unbroken-lines
20030,Iddarokkatiga Maareti Madhuramaina Kshanamu,,0,1,1,unbroken-lines
20715,Aashatho Nee Koraku Eduru Choochuchundagaa,,0,1,1,unbroken-lines
20741,Ambaraanni Daate Sambaraalu Nedu,,0,1,1,unbroken-lines
21832,Aaraadhinchedhamu Aathmatho Sathyamutho,Praveen VB,0,3,0,no-english-lyrics
21841,Aalochinchavaa Oh Nestham Aalochinchavaa,Joshua dean,0,5,1,
22064,Aaraadhinchedamu Aathmatho Nirathamu,,0,1,1,unbroken-lines
22065,Aananda Thailaabhishekamu Nimmu Aathma Swaroopudaa,,0,1,1,unbroken-lines
22081,Annivelala Vinuvaadu,G Phinehas,0,1,1,unbroken-lines
22093,Andhakaara Cherasaalalo Bandhakaala Irukulo,,0,1,1,unbroken-lines
22100,Anthya Dinamulayandu Aathmanu,,0,1,1,unbroken-lines
22107,Aaraadhinchedanu Aatmathoa Nirathamu,Pastor Raj Prakash Paul,0,1,1,unbroken-lines
22108,Aanandam Neelone Aadhaaram Neevegaa,,0,1,1,unbroken-lines
22119,Ah Ah Ah Ahahah,Franklin Sukumar,0,1,1,unbroken-lines
22133,Aaraadhinchedamu Yesayya Naamamunu,,0,1,1,unbroken-lines
22153,Ashirwadam Ashirvadham Yehova Dheevinchi Kaapadunugaka,"Dr  Prasanna kaki, music: Issac pilli",0,1,1,unbroken-lines
22158,Aa Silvalo Ee Paapikai Nee Sareeramu Baliyaayane,Israel Dorababu,0,1,1,unbroken-lines
22286,Aalakinchumo Devaa Maa Aakrandananu,Srinivas Bandaru,0,1,1,unbroken-lines
